awardgoverningsocietyname	awardname	awardreceivedname	awardreceivedawardyear	personname	prestige	award_age	award_decade	award_category	is_recent	stats_Focal Award	stats_Discipline	stats_Pathway Award	stats_# Awardees w/ This Award	stats_Percentage of Awardees with This Award	stats_Mean Academic Age at Time of Award
American Cancer Society	Institutional Research Grants (IRG)	Hao, Liangliang	2024	Hao, Liangliang	Not Designated	1	2020s	Standard Award	True	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	Cancer Biology	American Cancer Society | Institutional Research Grants (IRG)	1.0	0.091	42.0
Arnold and Mabel Beckman Foundation	Arnold O. Beckman Postdoctoral Fellowship	Joseph Derosa	2020	Derosa, Joseph	Not Designated	5	2020s	Standard Award	True	Air Force Office of Scientific Research (AFOSR) | Young Investigator Program (YIP)	Chemical Engineering	Arnold and Mabel Beckman Foundation | Arnold O. Beckman Postdoctoral Fellowship	1.0	0.1669999999999999	0.0
American Chemical Society	PHYS-Young Investigator Award	Minjung Son	2022	Son, Minjung	Not Designated	3	2020s	Standard Award	True	Alfred P. Sloan Foundation | Sloan Research Fellowship-Chemistry	Agricultural/Biological Engineering and Bioengineering	American Chemical Society | PHYS-Young Investigator Award	1.0	0.125	2.0
National Endowment for the Humanities (NEH)	Summer Stipends Awards	Moorman, Rebecca F.	2023	Moorman, Rebecca	Not Designated	2	2020s	Standard Award	True	Academia Europaea | Member of the Academia Europaea	Near and Middle Eastern Languages and Cultures	National Endowment for the Humanities (NEH) | Summer Stipends Awards	1.0	0.5	29.0
United States Department of State, Bureau of Educational and Cultural Affairs	Fulbright U.S. Student Program	Cristina Marisa Gago	2017	Gago, Cristina	Not Designated	8	2010s	Standard Award	True	Alexander Von Humboldt Foundation | Friedrich Wilhelm Bessel Research Awards	Chemical Engineering	United States Department of State, Bureau of Educational and Cultural Affairs | Fulbright U.S. Student Program	1.0	0.25	0.0
National Institutes of Health (NIH)	Health Disparities Research Institute - HDRI Scholar	Cristina Gago	2024	Gago, Cristina	Not Designated	1	2020s	Standard Award	True	American Academy of Nursing | Fellow	Nursing	National Institutes of Health (NIH) | Health Disparities Research Institute - HDRI Scholar	4.0	0.02	4.8
Google	Google Faculty Research Award	Eran Tromer	2014	Tromer, Eran	Not Designated	11	2010s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Computer and Information Sciences, various	Google | Google Faculty Research Award	1.0	0.3329999999999999	35.0
National Academy of Sciences	Kavli Frontiers of Science Fellows	Eran Tromer	2013	Tromer, Eran	Not Designated	12	2010s	Standard Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	National Academy of Sciences | Kavli Frontiers of Science Fellows	2.0	0.25	12.5
USENIX (Advanced Computing Systems Association)	Best Paper Awards	Eran Tromer	2021	Tromer, Eran	Not Designated	4	2020s	Standard Award	True	Academy of Financial Services | Best Paper Awards	Finance	Jacobs Levy Equity Management | Bernstein Fabozzi/Jacobs Levy Award Outstanding Article	1.0	1.0	7.0
Association for Computing Machinery (ACM)	SIGSAC/ACM CCS The Test-of-Time Award	Eran Tromer	2019	Tromer, Eran	Not Designated	6	2010s	Standard Award	True	Amazon | Amazon Research Awards	Computer Science	Association for Computing Machinery (ACM) | SIGSAC/ACM CCS The Test-of-Time Award	2.0	0.012	15.0
Academy of Social Sciences	Academy of Social Sciences Fellow	David Demeritt	2019	Demeritt, David	Not Designated	6	2010s	Standard Award	True	Academy of Social Sciences | Academy of Social Sciences Fellow	Public Health	Association for Psychological Science | APS Rising Star	1.0	1.0	5.0
National Bureau of Economic Research(NBER)	NBER Affiliated Scholars	Benjamin Marx	2024	Marx, Benjamin	Not Designated	1	2020s	Standard Award	True	Academia Europaea | Member of the Academia Europaea	Economics, General	National Bureau of Economic Research(NBER) | NBER Affiliated Scholars	2.0	1.0	13.5
National Institutes of Health (NIH)	National Institute on Drug Abuse (NIDA)/Director?s Travel Award to CPDD	Samantha Auty	2020	Auty, Samantha	Not Designated	5	2020s	Standard Award	True	American College of Neuropsychopharmacology | ACNP Travel Award	Biomedical Sciences, General	National Institutes of Health (NIH) | National Institute on Drug Abuse (NIDA)/DirectorÕs Travel Award to CPDD	1.0	1.0	0.0
Health Services Research	James F. Burgess Methods Article-of-the-Year Award	Samantha G. Auty	2024	Auty, Samantha	Not Designated	1	2020s	Standard Award	True	Health Services Research | James F. Burgess Methods Article-of-the-Year Award	Health Professions, various	International Society for Pharmacoeconomics and Outcomes Research (ISPOR) | ISPOR Health Economics and Outcomes Research-Methodology Award	1.0	1.0	7.0
American Council of Learned Societies (ACLS)	Andrew W Mellon/ACLS Dissertation Completion Fellowships	Heba Alnajada	2021	Alnajada, Heba	Highly Prestigious	4	2020s	Major Award	True	Alexander Von Humboldt Foundation | Humboldt Research Fellowship	Philosophy	American Council of Learned Societies (ACLS) | Andrew W Mellon/ACLS Dissertation Completion Fellowships	1.0	0.2	7.0
United States Department of State, Bureau of Educational and Cultural Affairs	Fulbright U.S. Student Program	Jilene  Chua	2019	Chua, Jilene	Not Designated	6	2010s	Standard Award	True	Alexander Von Humboldt Foundation | Friedrich Wilhelm Bessel Research Awards	Chemical Engineering	United States Department of State, Bureau of Educational and Cultural Affairs | Fulbright U.S. Student Program	1.0	0.25	0.0
American Council of Learned Societies (ACLS)	Andrew W Mellon/ACLS Dissertation Completion Fellowships	Aimee M. Genell	2012	Genell, Aimee	Highly Prestigious	13	2010s	Major Award	False	Alexander Von Humboldt Foundation | Humboldt Research Fellowship	Philosophy	American Council of Learned Societies (ACLS) | Andrew W Mellon/ACLS Dissertation Completion Fellowships	1.0	0.2	7.0
United States Department of State, Bureau of Educational and Cultural Affairs	Fulbright U.S. Student Program	Genell, Aimee	2010	Genell, Aimee	Not Designated	15	2010s	Standard Award	False	Alexander Von Humboldt Foundation | Friedrich Wilhelm Bessel Research Awards	Chemical Engineering	United States Department of State, Bureau of Educational and Cultural Affairs | Fulbright U.S. Student Program	1.0	0.25	0.0
Horowitz Foundation for Social Policy	Harold D. Lasswell Award	Sanne Verschuren	2019	Verschuren, Sanne Cornelia J	Not Designated	6	2010s	Standard Award	True	American Academy of Political and Social Science, The | Fellow	Political Science	American Political Science Association | Harold D Lasswell Award	1.0	0.111	1.0
Belfer Center for Science and International Affairs	International Security Program Fellow	Sanne Verschuren	2021	Verschuren, Sanne Cornelia J	Not Designated	4	2020s	Standard Award	True	American Political Science Association | International Security and Arms Control Section/Kenneth N. Waltz Dissertation Award	International Affairs and Development	Belfer Center for Science and International Affairs | International Security Program Fellow	1.0	1.0	0.0
American Political Science Association	International Security and Arms Control Section/Kenneth N. Waltz Dissertation Award	Sanne Cornelia J. Verschuren	2022	Verschuren, Sanne Cornelia J	Not Designated	3	2020s	Standard Award	True	American Political Science Association | International Security and Arms Control Section/Kenneth N. Waltz Dissertation Award	International Affairs and Development	Belfer Center for Science and International Affairs | International Security Program Fellow	1.0	1.0	0.0
Harvard University	Nieman Foundation/Nieman Fellows	David Abel	2013	Abel, David	Not Designated	12	2010s	Standard Award	False	American Library Association | Notable ChildrenÕs Books	English Language and Literature	Harvard University | Nieman Foundation/Nieman Fellows	1.0	0.2	3.0
Society for the Social Studies of Science	David Edge Prize	Joan Donovan	2020	Donovan, Joan	Not Designated	5	2020s	Standard Award	True	American Sociological Association | Sociology of Human Rights Section/Best Scholarly Article Award	Sociology - Articles-Focused	Society for the Social Studies of Science | David Edge Prize	1.0	0.5	4.0
Beloit College	Weissberg Chair in Human Rights and Social Justice	Joan Donovan	2023	Donovan, Joan	Not Designated	2	2020s	Standard Award	True	Beloit College | Weissberg Chair in Human Rights and Social Justice	Ancient Studies	School for Advanced Research | J. I. Staley Prize	1.0	1.0	10.0
American Sociological Association	Communications, Information Technologies and Media Sociology Section/CITAMS Award for Public Sociology	Joan Donovan	2024	Donovan, Joan	Not Designated	1	2020s	Standard Award	True	American Sociological Association | Communications, Information Technologies and Media Sociology Section/CITAMS Award for Public Sociology	Communication and Communication Studies - Articles-Focused	National Communication Association | Organizational Communication Division/Book Award	1.0	1.0	3.0
International Communication Association (ICA)	Children, Adolescents, and Media Division/Top Paper Award	AnneMarie McClain	2022	Mcclain, Annemarie	Not Designated	3	2020s	Standard Award	True	Association for Education in Journalism and Mass Communication | MCS Research Award	Mass Communications/Media Studies - Articles-Focused	International Communication Association (ICA) | Children, Adolescents, and Media Division/Top Paper Award	1.0	0.25	4.0
Urban Affairs Association	Best Conference Paper Award	Jacob Robert Brown	2013	Brown, Jacob	Not Designated	12	2010s	Standard Award	False	American Society for Public Administration, The | PAR/William E. Mosher and Frederick C. Mosher Award	Public Administration	Urban Affairs Association | Best Conference Paper Award	1.0	1.0	10.0
Anxiety and Depression Association of America	Alies Muskin Early Career Development Program Award	Qimin Liu	2022	Liu, Qimin	Not Designated	3	2020s	Standard Award	True	American College of Neuropsychopharmacology | ACNP Travel Award	Psychology, General	Anxiety and Depression Association of America | Alies Muskin Early Career Development Program Award	1.0	0.1669999999999999	1.0
United States Department of State, Bureau of Educational and Cultural Affairs	Fulbright U.S. Student Program	Tubergen, Elizabeth G.	2009	Tubergen, Elizabeth	Not Designated	16	2000s	Standard Award	False	Alexander Von Humboldt Foundation | Friedrich Wilhelm Bessel Research Awards	Chemical Engineering	United States Department of State, Bureau of Educational and Cultural Affairs | Fulbright U.S. Student Program	1.0	0.25	0.0
MacDowell Colony	MacDowell Fellowships	Elizabeth Tubergen	2008	Tubergen, Elizabeth	Not Designated	17	2000s	Standard Award	False	Academy of American Poets | Academy Fellowship	Performing and Visual Arts, various	MacDowell Colony | MacDowell Fellowships	1.0	1.0	5.0
Alexander Von Humboldt Foundation	German Chancellor Fellowship	Elizabeth Tubergen	2019	Tubergen, Elizabeth	Not Designated	6	2010s	Standard Award	True	American Academy of Arts and Letters | Arts and Letters Awards	Performing and Visual Arts, various	Alexander Von Humboldt Foundation | German Chancellor Fellowship	1.0	0.125	6.0
American Academy of Arts and Letters	Arts and Letters Awards	Elizabeth Tubergen	2021	Tubergen, Elizabeth	Not Designated	4	2020s	Standard Award	True	Academy of American Poets | Harold Morton Landon Translation Award	Comparative Literature	American Academy of Arts and Letters | Arts and Letters Awards	1.0	1.0	30.0
American Occupational Therapy Association	Roster of  Fellows	Leanne Yinusa-Nyahkoon	2023	Yinusa-nyakhoon, Leanne	Not Designated	2	2020s	Standard Award	True	American Congress of Rehabilitation Medicine | Edward Lowman Award	Health Professions, various	American Occupational Therapy Association | Roster of  Fellows	1.0	1.0	13.0
United States Department of State, Bureau of Educational and Cultural Affairs	Fulbright Specialist	Mary Battenfeld	2023	Battenfeld, Mary	Not Designated	2	2020s	Standard Award	True	Academia Europaea | Member of the Academia Europaea	Computer Science	United States Department of State, Bureau of Educational and Cultural Affairs | Fulbright Specialist	1.0	0.063	22.0
Arnold and Mabel Beckman Foundation	The Beckman Scholars Program	Lynne Chantranupong	2008	Chantranupong, Lynne	Highly Prestigious	17	2000s	Major Award	False	American College of Radiology | ACR Fellow	Medical Sciences, various	Arnold and Mabel Beckman Foundation | The Beckman Scholars Program	1.0	0.1669999999999999	18.0
Fred Hutchinson Cancer Research Center	Harold M. Weintraub Graduate Student Award	Lynne Chantranupong	2017	Chantranupong, Lynne	Not Designated	8	2010s	Standard Award	True	Alfred P. Sloan Foundation | Sloan Research Fellowship-Chemistry	Biochemistry	Fred Hutchinson Cancer Research Center | Harold M. Weintraub Graduate Student Award	1.0	0.048	1.0
Howard Hughes Medical Institute (HHMI)	Hanna H. Gray Fellow	Lynne Chantranupong	2017	Chantranupong, Lynne	Not Designated	8	2010s	Standard Award	True	Alfred P. Sloan Foundation | Sloan Research Fellowship-Computational & Evolutionary Molecular Biology	Bioinformatics and Computational Biology	Howard Hughes Medical Institute (HHMI) | Hanna H. Gray Fellow	2.0	0.182	1.0
United States Department of State, Bureau of Educational and Cultural Affairs	Fulbright Scholar	Arturo Mendoza	2003	Mendoza Arturo, Cisneros	Prestigious	22	2000s	Notable Award	False	Academia Europaea | Member of the Academia Europaea	Chemistry	United States Department of State, Bureau of Educational and Cultural Affairs | Fulbright Scholar	1.0	0.3329999999999999	0.0
National Institutes of Health (NIH)	NIH Pathway to Independence Award (K99/R00)	Stangl, Matthias	2023	Stangl, Matthias	Not Designated	2	2020s	Standard Award	True	Academy for Radiology & Biomedical Imaging Research | Distinguished Investigator (DI) Award	Agricultural/Biological Engineering and Bioengineering	National Institutes of Health (NIH) | NIH Pathway to Independence Award (K99/R00)	2.0	0.4	5.5
Memory Disorders Research Society	Cermak/Corkin Postdoctoral Award	Matthias Stangl	2023	Stangl, Matthias	Not Designated	2	2020s	Standard Award	True	American College of Neuropsychopharmacology | ACNP Travel Award	Neurobiology/Neuroscience	Memory Disorders Research Society | Cermak/Corkin Postdoctoral Award	1.0	0.033	2.0
Harvard Radcliffe Institute for Advanced Study	Radcliffe Institute Fellowship	Irene Maxine Pepperberg	2004	Pepperberg, Irene	Prestigious	21	2000s	Notable Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	Harvard Radcliffe Institute for Advanced Study | Radcliffe Institute Fellowship	1.0	0.125	15.0
John Simon Guggenheim Memorial Foundation	Guggenheim Fellowship	Irene Maxine Pepperberg	1996	Pepperberg, Irene	Highly Prestigious	29	1990s	Major Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	John Simon Guggenheim Memorial Foundation | Guggenheim Fellowship	2.0	1.0	14.0
